# sr=500,duration=190.424688
-0.001373,0.017242
-0.011688,0.004150
-0.016739,0.000351
-0.013504,0.001663
-0.001694,0.013870
0.000031,0.019623
-0.005341,0.020447
-0.007950,0.008194
-0.018982,0.002533
-0.016312,0.002487
-0.010895,0.008911
-0.006592,0.023209
0.000916,0.018127
-0.000107,0.011917
-0.013962,0.003708
-0.017181,0.003540
-0.010941,0.003510
-0.004532,0.015076
-0.001740,0.024796
0.000259,0.014450
-0.007965,0.007553
-0.018036,0.008942
-0.013504,0.007828
-0.011566,0.009750
-0.006485,0.016983
0.001114,0.026382
-0.007965,0.023102
-0.017288,0.012466
-0.021896,0.004486
-0.023117,0.016434
-0.012634,0.021240
-0.006287,0.028381
-0.012665,0.024811
-0.020386,0.027863
-0.021027,0.011276
-0.022461,0.008789
-0.026535,0.024719
-0.008667,0.024933
-0.004364,0.022873
-0.017303,0.025238
-0.023209,0.018433
-0.022018,0.006516
-0.021759,0.013138
-0.018600,0.027969
-0.009293,0.025040
-0.010010,0.026245
-0.027435,0.020111
-0.023499,0.015320
-0.025436,0.007507
-0.019531,0.017319
-0.016449,0.029175
-0.009766,0.029236
-0.015060,0.018326
-0.027985,0.010025
-0.027298,0.011734
-0.023697,0.009735
-0.016281,0.021378
-0.016434,0.021301
-0.014191,0.024673
-0.022583,0.015091
-0.021774,0.007248
-0.028488,0.011566
-0.019867,0.014221
-0.011261,0.017975
-0.013535,0.017929
-0.015732,0.022888
-0.021164,0.009415
-0.024139,0.007904
-0.027100,0.015381
-0.016190,0.019348
-0.008667,0.018723
-0.014786,0.020248
-0.017944,0.017242
-0.019180,0.008759
-0.020844,0.006363
-0.016174,0.016891
-0.006348,0.016144
-0.004868,0.018860
-0.018829,0.018570
-0.019653,0.012604
-0.019241,0.008789
-0.015717,0.010742
-0.011459,0.015594
-0.009048,0.018677
-0.008942,0.022461
-0.012253,0.012100
-0.020844,0.011215
-0.018036,0.008957
-0.016876,0.014816
-0.007690,0.016113
-0.011337,0.021576
-0.012466,0.021942
-0.015106,0.005875
-0.017273,0.009995
-0.021469,0.011169
-0.007706,0.012329
-0.004410,0.017273
-0.011246,0.019272
-0.012497,0.012085
-0.016449,0.002258
-0.015732,0.009476
-0.014740,0.011124
-0.006577,0.017914
-0.008896,0.014999
-0.008209,0.015289
-0.012238,0.006973
-0.014709,0.001175
-0.015320,0.005035
-0.009552,0.010635
-0.002228,0.018875
-0.006485,0.008896
-0.008850,0.008728
-0.021042,0.007690
-0.011475,0.006653
-0.012375,0.007355
-0.009140,0.013367
-0.004227,0.015884
-0.004196,0.005020
-0.009445,0.004974
-0.019714,0.001892
-0.009689,0.004471
-0.006592,0.005585
-0.006714,0.014145
-0.006470,0.012039
-0.005539,0.005157
-0.013504,0.005173
-0.019775,0.005371
-0.008514,0.007217
-0.001907,0.005463
-0.006485,0.015884
-0.009750,0.009109
-0.008820,0.003113
-0.014984,0.005844
-0.013992,0.006851
-0.001007,0.011383
-0.005692,0.011795
-0.004730,0.016022
-0.011658,0.008057
-0.011230,0.001892
-0.013992,0.008774
-0.012299,0.011993
-0.001709,0.012863
-0.004562,0.012039
-0.006561,0.010269
-0.011414,0.008835
-0.009674,0.003067
-0.012543,0.004318
-0.010727,0.012512
-0.006027,0.014404
-0.004196,0.012787
-0.008743,0.012238
-0.017822,0.005905
-0.012207,0.004990
-0.011078,0.007416
-0.009903,0.013870
-0.007278,0.015198
-0.002808,0.007614
-0.013931,0.008957
-0.019089,0.006531
-0.010345,0.008530
-0.010406,0.009933
-0.007111,0.018356
-0.010223,0.011429
-0.009430,0.010742
-0.018021,0.008438
-0.013733,0.005264
-0.008286,0.008102
-0.011612,0.009216
-0.010941,0.015656
-0.010376,0.014084
-0.012955,0.007721
-0.019531,0.007553
-0.014465,0.007599
-0.009277,0.012299
-0.008881,0.013840
-0.006973,0.011169
-0.012985,0.009552
-0.012131,0.009644
-0.015808,0.003250
-0.009781,0.008591
-0.009308,0.013641
-0.007706,0.017380
-0.012527,0.010818
-0.018692,0.008865
-0.013321,0.008926
-0.012100,0.006134
-0.011444,0.009384
-0.010880,0.015686
-0.007523,0.012207
-0.011520,0.008942
-0.016327,0.004272
